================================================================================
TRAINING STATE SUMMARY
================================================================================
Step: 850
--------------------------------------------------------------------------------
Optimizer State
Optimizer: param_groups = 1
  Group 0: lr=1.413333e-05
           betas=(0.9, 0.999)
           weight_decay=0.01
Optimizer: parameter_states = 504
--------------------------------------------------------------------------------
Scheduler State
Scheduler: last_epoch = 106
--------------------------------------------------------------------------------
Loss History: 851 entries
Index        Step          Loss            LR
    0           0      3.922399  0.000000e+00
    1           1      3.617406  0.000000e+00
    2           2      4.243993  0.000000e+00
    3           3      4.863657  0.000000e+00
    4           4      4.333082  0.000000e+00
    5           5      3.321658  0.000000e+00
    6           6      4.455974  0.000000e+00
    7           7      3.844672  1.333333e-07
    8           8      4.163313  1.333333e-07
    9           9      4.227139  1.333333e-07
   10          10      4.479999  1.333333e-07
   11          11      3.505036  1.333333e-07
   12          12      3.654036  1.333333e-07
   13          13      5.016136  1.333333e-07
   14          14      3.363002  1.333333e-07
   15          15      3.317447  2.666667e-07
   16          16      3.404043  2.666667e-07
   17          17      3.121504  2.666667e-07
   18          18      3.358721  2.666667e-07
   19          19      3.211256  2.666667e-07
   20          20      5.032062  2.666667e-07
   21          21      4.689490  2.666667e-07
   22          22      4.846891  2.666667e-07
   23          23      4.361702  4.000000e-07
   24          24      3.386792  4.000000e-07
   25          25      4.101483  4.000000e-07
   26          26      3.489608  4.000000e-07
   27          27      3.373790  4.000000e-07
   28          28      3.600356  4.000000e-07
   29          29      3.448801  4.000000e-07
   30          30      3.519238  4.000000e-07
   31          31      3.476375  5.333333e-07
   32          32      3.634758  5.333333e-07
   33          33      3.549077  5.333333e-07
   34          34      3.420630  5.333333e-07
   35          35      3.228946  5.333333e-07
   36          36      4.680886  5.333333e-07
   37          37      5.151886  5.333333e-07
   38          38      3.229684  5.333333e-07
   39          39      3.460687  6.666667e-07
   40          40      3.221087  6.666667e-07
   41          41      4.972938  6.666667e-07
   42          42      3.306729  6.666667e-07
   43          43      4.476653  6.666667e-07
   44          44      3.546552  6.666667e-07
   45          45      3.603103  6.666667e-07
   46          46      3.117567  6.666667e-07
   47          47      3.636104  8.000000e-07
   48          48      3.273211  8.000000e-07
   49          49      5.006342  8.000000e-07
   50          50      3.413054  8.000000e-07
   51          51      3.640049  8.000000e-07
   52          52      3.361932  8.000000e-07
   53          53      3.663817  8.000000e-07
   54          54      3.689246  8.000000e-07
   55          55      3.252371  9.333333e-07
   56          56      4.680822  9.333333e-07
   57          57      3.617843  9.333333e-07
   58          58      3.850891  9.333333e-07
   59          59      3.633110  9.333333e-07
   60          60      3.482558  9.333333e-07
   61          61      3.218394  9.333333e-07
   62          62      3.436829  9.333333e-07
   63          63      4.641738  1.066667e-06
   64          64      3.207541  1.066667e-06
   65          65      3.766172  1.066667e-06
   66          66      3.127325  1.066667e-06
   67          67      3.252780  1.066667e-06
   68          68      3.228580  1.066667e-06
   69          69      4.365226  1.066667e-06
   70          70      3.453068  1.066667e-06
   71          71      3.806785  1.200000e-06
   72          72      3.623407  1.200000e-06
   73          73      4.700349  1.200000e-06
   74          74      3.542921  1.200000e-06
   75          75      4.181905  1.200000e-06
   76          76      3.162063  1.200000e-06
   77          77      3.301340  1.200000e-06
   78          78      3.214031  1.200000e-06
   79          79      3.141736  1.333333e-06
   80          80      3.755255  1.333333e-06
   81          81      3.342485  1.333333e-06
   82          82      4.750508  1.333333e-06
   83          83      3.733259  1.333333e-06
   84          84      3.047839  1.333333e-06
   85          85      3.297485  1.333333e-06
   86          86      3.783241  1.333333e-06
   87          87      4.343035  1.466667e-06
   88          88      3.198275  1.466667e-06
   89          89      3.130221  1.466667e-06
   90          90      4.942102  1.466667e-06
   91          91      3.243453  1.466667e-06
   92          92      3.887384  1.466667e-06
   93          93      4.042222  1.466667e-06
   94          94      3.398650  1.466667e-06
   95          95      3.254259  1.600000e-06
   96          96      4.007320  1.600000e-06
   97          97      3.496557  1.600000e-06
   98          98      4.225855  1.600000e-06
   99          99      4.602870  1.600000e-06
  100         100      3.437645  1.600000e-06
  101         101      3.716494  1.600000e-06
  102         102      3.461080  1.600000e-06
  103         103      3.267261  1.733333e-06
  104         104      5.008437  1.733333e-06
  105         105      3.880111  1.733333e-06
  106         106      3.273015  1.733333e-06
  107         107      4.476262  1.733333e-06
  108         108      3.212136  1.733333e-06
  109         109      3.198445  1.733333e-06
  110         110      3.192527  1.733333e-06
  111         111      3.400267  1.866667e-06
  112         112      3.304165  1.866667e-06
  113         113      3.222163  1.866667e-06
  114         114      3.694113  1.866667e-06
  115         115      4.662018  1.866667e-06
  116         116      4.145472  1.866667e-06
  117         117      3.423967  1.866667e-06
  118         118      3.230960  1.866667e-06
  119         119      4.527797  2.000000e-06
  120         120      3.206186  2.000000e-06
  121         121      3.586584  2.000000e-06
  122         122      3.269583  2.000000e-06
  123         123      4.014309  2.000000e-06
  124         124      4.840565  2.000000e-06
  125         125      3.711611  2.000000e-06
  126         126      3.526115  2.000000e-06
  127         127      3.384824  2.133333e-06
  128         128      3.140673  2.133333e-06
  129         129      3.135359  2.133333e-06
  130         130      3.336586  2.133333e-06
  131         131      4.674685  2.133333e-06
  132         132      4.231112  2.133333e-06
  133         133      4.757311  2.133333e-06
  134         134      3.379414  2.133333e-06
  135         135      3.122645  2.266667e-06
  136         136      3.684170  2.266667e-06
  137         137      3.594824  2.266667e-06
  138         138      3.363130  2.266667e-06
  139         139      3.326584  2.266667e-06
  140         140      3.882395  2.266667e-06
  141         141      3.435649  2.266667e-06
  142         142      3.727960  2.266667e-06
  143         143      3.290603  2.400000e-06
  144         144      3.453032  2.400000e-06
  145         145      3.033381  2.400000e-06
  146         146      4.049291  2.400000e-06
  147         147      3.425738  2.400000e-06
  148         148      3.156232  2.400000e-06
  149         149      3.655623  2.400000e-06
  150         150      3.419820  2.400000e-06
  151         151      4.490005  2.533333e-06
  152         152      4.187765  2.533333e-06
  153         153      3.600519  2.533333e-06
  154         154      4.408456  2.533333e-06
  155         155      4.669158  2.533333e-06
  156         156      3.152982  2.533333e-06
  157         157      3.187255  2.533333e-06
  158         158      3.989769  2.533333e-06
  159         159      4.646333  2.666667e-06
  160         160      3.092669  2.666667e-06
  161         161      4.102483  2.666667e-06
  162         162      3.340065  2.666667e-06
  163         163      3.409280  2.666667e-06
  164         164      2.992927  2.666667e-06
  165         165      3.148193  2.666667e-06
  166         166      4.042844  2.666667e-06
  167         167      3.697596  2.800000e-06
  168         168      3.820632  2.800000e-06
  169         169      3.183539  2.800000e-06
  170         170      4.092508  2.800000e-06
  171         171      3.896588  2.800000e-06
  172         172      3.515335  2.800000e-06
  173         173      3.454257  2.800000e-06
  174         174      3.377112  2.800000e-06
  175         175      3.305366  2.933333e-06
  176         176      3.590984  2.933333e-06
  177         177      3.309986  2.933333e-06
  178         178      3.496389  2.933333e-06
  179         179      4.523421  2.933333e-06
  180         180      3.468130  2.933333e-06
  181         181      3.231862  2.933333e-06
  182         182      3.069461  2.933333e-06
  183         183      4.442058  3.066667e-06
  184         184      3.137614  3.066667e-06
  185         185      2.944938  3.066667e-06
  186         186      4.116010  3.066667e-06
  187         187      3.143743  3.066667e-06
  188         188      3.662677  3.066667e-06
  189         189      3.175324  3.066667e-06
  190         190      3.581467  3.066667e-06
  191         191      3.022702  3.200000e-06
  192         192      3.953382  3.200000e-06
  193         193      3.031290  3.200000e-06
  194         194      3.996581  3.200000e-06
  195         195      3.068860  3.200000e-06
  196         196      3.434712  3.200000e-06
  197         197      3.320723  3.200000e-06
  198         198      3.722104  3.200000e-06
  199         199      3.139132  3.333333e-06
  200         200      2.983032  3.333333e-06
  201         201      3.851046  3.333333e-06
  202         202      4.141652  3.333333e-06
  203         203      2.887992  3.333333e-06
  204         204      2.980292  3.333333e-06
  205         205      3.230985  3.333333e-06
  206         206      3.680297  3.333333e-06
  207         207      3.055706  3.466667e-06
  208         208      3.205173  3.466667e-06
  209         209      4.016964  3.466667e-06
  210         210      3.782606  3.466667e-06
  211         211      3.126958  3.466667e-06
  212         212      3.125411  3.466667e-06
  213         213      4.115959  3.466667e-06
  214         214      3.260966  3.466667e-06
  215         215      4.563507  3.600000e-06
  216         216      3.275896  3.600000e-06
  217         217      3.985364  3.600000e-06
  218         218      3.914393  3.600000e-06
  219         219      3.688053  3.600000e-06
  220         220      4.310356  3.600000e-06
  221         221      2.971172  3.600000e-06
  222         222      3.239564  3.600000e-06
  223         223      3.527987  3.733333e-06
  224         224      3.526281  3.733333e-06
  225         225      3.734294  3.733333e-06
  226         226      3.184018  3.733333e-06
  227         227      3.191579  3.733333e-06
  228         228      3.655517  3.733333e-06
  229         229      3.191349  3.733333e-06
  230         230      3.749272  3.733333e-06
  231         231      2.906234  3.866667e-06
  232         232      3.244424  3.866667e-06
  233         233      3.235763  3.866667e-06
  234         234      3.827132  3.866667e-06
  235         235      3.778245  3.866667e-06
  236         236      3.861699  3.866667e-06
  237         237      3.569900  3.866667e-06
  238         238      3.142674  3.866667e-06
  239         239      3.335843  4.000000e-06
  240         240      2.892315  4.000000e-06
  241         241      2.859510  4.000000e-06
  242         242      4.077561  4.000000e-06
  243         243      3.069017  4.000000e-06
  244         244      3.298416  4.000000e-06
  245         245      3.037712  4.000000e-06
  246         246      4.228746  4.000000e-06
  247         247      3.569819  4.133333e-06
  248         248      4.147847  4.133333e-06
  249         249      3.923407  4.133333e-06
  250         250      2.901506  4.133333e-06
  251         251      4.049273  4.133333e-06
  252         252      3.413159  4.133333e-06
  253         253      3.584874  4.133333e-06
  254         254      3.313157  4.133333e-06
  255         255      3.110408  4.266667e-06
  256         256      3.209247  4.266667e-06
